# Total Phase Data Center(tm) v8.10,,,,,,,,,
# (c) 2005-2026 Total Phase, Inc.,,,,,,,,
# www.totalphase.com,,,,,,,,,
#,,,,,,,,,
# ,,,,,,,,,
#,,,,,,,,,
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,Description
0,0,0:00.000.000,,,,,,Capture started,[09/01/26 11:00:19],Capture started [09/01/26 11:00:19]
0,1,5:04.540.193,88.550 us,1 B,,S,36,Write Transaction,21,Set pointer DevName (0x021)
0,2,5:04.540.281,128.150 us,2 B,,SP,36,Read Transaction,30 50*,Read DevName (0x021) = 0x5030 (MAX77972)
0,3,5:04.540.513,88.550 us,1 B,,S,36,Write Transaction,D5,Set pointer nChgConfig5 (0x0D5)
0,4,5:04.540.602,128.150 us,2 B,,SP,36,Read Transaction,02 00*,Read nChgConfig5 (0x0D5) = 0x0002 (ChgEnable=1 (charger enabled))
0,5,5:04.540.737,169.150 us,3 B,,SP,36,Write Transaction,D5 00 00,Write nChgConfig5 (0x0D5) = 0x0000 (ChgEnable=0 (charger disabled))
0,6,5:04.540.914,88.300 us,1 B,,S,36,Write Transaction,D5,Set pointer nChgConfig5 (0x0D5)
0,7,5:04.541.002,128.200 us,2 B,,SP,36,Read Transaction,00 00*,Read nChgConfig5 (0x0D5) = 0x0000 (ChgEnable=0 (charger disabled))
0,8,5:04.551.857,88.300 us,1 B,,S,36,Write Transaction,3D,Set pointer FStat (0x03D)
0,9,5:04.551.945,128.150 us,2 B,,SP,36,Read Transaction,00 00*,Read FStat (0x03D) = 0x0000 (no named flags set)
0,10,5:04.552.143,88.550 us,1 B,,S,36,Write Transaction,D4,Set pointer nChgConfig4 (0x0D4)
0,11,5:04.552.231,128.200 us,2 B,,SP,36,Read Transaction,24 09*,"Read nChgConfig4 (0x0D4) = 0x0924 (SDPMaxCurr=0 (no CHGIN_INLIM change), DCDCpl=1 (data contact detect 900ms), CHGDETEN=1 (BC1.2 runs automatically), NO_AUTOISET=0 (input limit from USB_INLIM), DATAMUX=0 (pushbutton reset on DATAMUX), VCHGIN_REG=0 (4.5V), INLIM_CLK=2 (1024us))"
0,12,5:04.552.366,169.000 us,3 B,,SP,36,Write Transaction,D4 64 09,"Write nChgConfig4 (0x0D4) = 0x0964 (SDPMaxCurr=0 (no CHGIN_INLIM change), DCDCpl=1 (data contact detect 900ms), CHGDETEN=1 (BC1.2 runs automatically), NO_AUTOISET=0 (input limit from USB_INLIM), DATAMUX=1 (USB data mux on DATAMUX), VCHGIN_REG=0 (4.5V), INLIM_CLK=2 (1024us))"
0,13,5:04.552.542,88.300 us,1 B,,S,36,Write Transaction,D4,Set pointer nChgConfig4 (0x0D4)
0,14,5:04.552.630,128.150 us,2 B,,SP,36,Read Transaction,64 09*,"Read nChgConfig4 (0x0D4) = 0x0964 (SDPMaxCurr=0 (no CHGIN_INLIM change), DCDCpl=1 (data contact detect 900ms), CHGDETEN=1 (BC1.2 runs automatically), NO_AUTOISET=0 (input limit from USB_INLIM), DATAMUX=1 (USB data mux on DATAMUX), VCHGIN_REG=0 (4.5V), INLIM_CLK=2 (1024us))"
0,15,5:04.552.766,88.300 us,1 B,,S,36,Write Transaction,00,Set pointer Status (0x000)
0,16,5:04.552.854,128.200 us,2 B,,SP,36,Read Transaction,02 00*,Read Status (0x000) = 0x0002 (POR=1 (power-on reset detected))
0,17,5:04.553.182,88.550 us,1 B,,S,36,Write Transaction,0C,Set pointer Config (0x00C)
0,18,5:04.553.270,128.200 us,2 B,,SP,36,Read Transaction,00 20*,Read Config (0x00C) = 0x2000 (TS=1 (temperature alerts cleared by software only))
0,19,5:04.553.405,169.000 us,3 B,,SP,36,Write Transaction,0C 03 20,"Write Config (0x00C) = 0x2003 (TS=1 (temperature alerts cleared by software only), Bei=1 (battery insertion alert enabled), Ber=1 (battery removal alert enabled))"
0,20,5:04.553.581,88.300 us,1 B,,S,36,Write Transaction,0C,Set pointer Config (0x00C)
0,21,5:04.553.669,128.150 us,2 B,,SP,36,Read Transaction,03 20*,"Read Config (0x00C) = 0x2003 (TS=1 (temperature alerts cleared by software only), Bei=1 (battery insertion alert enabled), Ber=1 (battery removal alert enabled))"
0,22,5:04.553.804,88.350 us,1 B,,S,36,Write Transaction,D7,Set pointer ChgDetails01 (0x0D7)
0,23,5:04.553.892,128.200 us,2 B,,SP,36,Read Transaction,00 32*,"Read ChgDetails01 (0x0D7) = 0x3200 (BAT_DTLS=3 (battery OK), CHG_DTLS=2 (fast-charge constant voltage), BYP_DTLS=0 (BYP node OK))"
0,24,5:04.554.027,88.300 us,1 B,,S,36,Write Transaction,00,Set pointer Status (0x000)
0,25,5:04.554.115,128.150 us,2 B,,SP,36,Read Transaction,02 00*,Read Status (0x000) = 0x0002 (POR=1 (power-on reset detected))
